"","X","id","Time","Sample","Value"
"1950",3150,2,9.666667,"Cell_11",1.029172
"1951",3151,2,9.833333,"Cell_11",0.999669
"1952",3152,2,10,"Cell_11",0.9736617
"1953",3213,3,0,"Cell_11",1.001506
"1954",3214,3,0.1666667,"Cell_11",0.9962637
"1955",3215,3,0.3333333,"Cell_11",1.001552
"1956",3216,3,0.5,"Cell_11",1.001776
"1957",3217,3,0.6666667,"Cell_11",0.9989264
"1958",3218,3,0.8333333,"Cell_11",0.9989417
"1959",3219,3,1,"Cell_11",0.998541
"1960",3220,3,1.166667,"Cell_11",1.001087
"1961",3221,3,1.333333,"Cell_11",0.999691
"1962",3222,3,1.5,"Cell_11",1.004767
"1963",3223,3,1.666667,"Cell_11",0.9992133
"1964",3224,3,1.833333,"Cell_11",0.999886
"1965",3225,3,2,"Cell_11",1.013372
"1966",3226,3,2.166667,"Cell_11",1.040544
"1967",3227,3,2.333333,"Cell_11",1.048964
"1968",3228,3,2.5,"Cell_11",1.049942
"1969",3229,3,2.666667,"Cell_11",1.040685
"1970",3230,3,2.833333,"Cell_11",1.025953
"1971",3231,3,3,"Cell_11",1.009268
"1972",3232,3,3.166667,"Cell_11",1.000532
"1973",3233,3,3.333333,"Cell_11",1.002513
"1974",3234,3,3.5,"Cell_11",1.007535
"1975",3235,3,3.666667,"Cell_11",1.017716
"1976",3236,3,3.833333,"Cell_11",1.027116
"1977",3237,3,4,"Cell_11",1.046958
"1978",3238,3,4.166667,"Cell_11",1.053437
"1979",3239,3,4.333334,"Cell_11",1.053991
"1980",3240,3,4.5,"Cell_11",1.057826
"1981",3241,3,4.666667,"Cell_11",1.058849
"1982",3242,3,4.833334,"Cell_11",1.054114
"1983",3243,3,5,"Cell_11",1.056359
"1984",3244,3,5.166667,"Cell_11",1.056158
"1985",3245,3,5.333334,"Cell_11",1.057298
"1986",3246,3,5.5,"Cell_11",1.048874
"1987",3247,3,5.666667,"Cell_11",1.053233
"1988",3248,3,5.833334,"Cell_11",1.047039
"1989",3249,3,6,"Cell_11",1.050427
"1990",3250,3,6.166667,"Cell_11",1.039274
"1991",3251,3,6.333334,"Cell_11",1.040822
"1992",3252,3,6.5,"Cell_11",1.036135
"1993",3253,3,6.666667,"Cell_11",1.033476
"1994",3254,3,6.833334,"Cell_11",1.033813
"1995",3255,3,7,"Cell_11",1.031896
"1996",3256,3,7.166667,"Cell_11",1.026563
"1997",3257,3,7.333334,"Cell_11",1.02998
"1998",3258,3,7.5,"Cell_11",1.034953
"1999",3259,3,7.666667,"Cell_11",1.023669
"2000",3260,3,7.833334,"Cell_11",1.026622
"2001",3261,3,8,"Cell_11",1.033649
"2002",3262,3,8.166667,"Cell_11",1.024937
"2003",3263,3,8.333333,"Cell_11",1.022342
"2004",3264,3,8.5,"Cell_11",1.018172
"2005",3265,3,8.666667,"Cell_11",1.022594
"2006",3266,3,8.833333,"Cell_11",1.018899
"2007",3267,3,9,"Cell_11",1.017207
"2008",3268,3,9.166667,"Cell_11",1.021223
"2009",3269,3,9.333333,"Cell_11",1.016805
"2010",3270,3,9.5,"Cell_11",1.016033
"2011",3271,3,9.666667,"Cell_11",1.016811
"2012",3272,3,9.833333,"Cell_11",1.013956
"2013",3273,3,10,"Cell_11",1.011082
"2014",3334,1,0,"Cell_12",0.9930942
"2015",3335,1,0.1666667,"Cell_12",1.001059
"2016",3336,1,0.3333333,"Cell_12",0.9960924
"2017",3337,1,0.5,"Cell_12",1.001295
"2018",3338,1,0.6666667,"Cell_12",1.012727
"2019",3339,1,0.8333333,"Cell_12",1.000937
"2020",3340,1,1,"Cell_12",1.004348
"2021",3341,1,1.166667,"Cell_12",0.9906775
"2022",3342,1,1.333333,"Cell_12",1.003457
"2023",3343,1,1.5,"Cell_12",1.009507
"2024",3344,1,1.666667,"Cell_12",1.016209
"2025",3345,1,1.833333,"Cell_12",1.003368
"2026",3346,1,2,"Cell_12",1.067317
"2027",3347,1,2.166667,"Cell_12",1.158636
"2028",3348,1,2.333333,"Cell_12",1.19491
"2029",3349,1,2.5,"Cell_12",1.193573
"2030",3350,1,2.666667,"Cell_12",1.170373
"2031",3351,1,2.833333,"Cell_12",1.136987
"2032",3352,1,3,"Cell_12",1.108772
"2033",3353,1,3.166667,"Cell_12",1.085544
"2034",3354,1,3.333333,"Cell_12",1.074119
"2035",3355,1,3.5,"Cell_12",1.059853
"2036",3356,1,3.666667,"Cell_12",1.039207
"2037",3357,1,3.833333,"Cell_12",1.038893
"2038",3358,1,4,"Cell_12",1.018266
"2039",3359,1,4.166667,"Cell_12",1.02372
"2040",3360,1,4.333334,"Cell_12",1.024265
"2041",3361,1,4.5,"Cell_12",1.017563
"2042",3362,1,4.666667,"Cell_12",1.010205
"2043",3363,1,4.833334,"Cell_12",1.017358
"2044",3364,1,5,"Cell_12",1.011696
"2045",3365,1,5.166667,"Cell_12",1.01066
"2046",3366,1,5.333334,"Cell_12",1.006463
"2047",3367,1,5.5,"Cell_12",1.024368
"2048",3368,1,5.666667,"Cell_12",1.026356
"2049",3369,1,5.833334,"Cell_12",1.024835
"2050",3370,1,6,"Cell_12",1.031103
"2051",3371,1,6.166667,"Cell_12",1.023327
"2052",3372,1,6.333334,"Cell_12",1.038214
"2053",3373,1,6.5,"Cell_12",1.0374
"2054",3374,1,6.666667,"Cell_12",1.042981
"2055",3375,1,6.833334,"Cell_12",1.049933
"2056",3376,1,7,"Cell_12",1.045857
"2057",3377,1,7.166667,"Cell_12",1.042315
"2058",3378,1,7.333334,"Cell_12",1.046854
"2059",3379,1,7.5,"Cell_12",1.045468
"2060",3380,1,7.666667,"Cell_12",1.04505
"2061",3381,1,7.833334,"Cell_12",1.033143
"2062",3382,1,8,"Cell_12",1.042702
"2063",3383,1,8.166667,"Cell_12",1.053557
"2064",3384,1,8.333333,"Cell_12",1.051683
